book,gross_exposure,path,seed,ending_after_tax_wealth,after_tax_cagr,gross_losses_realized,gross_losses_liquidation,disallowed_wash_losses,net_realized_pre_liquidation,tax_benefit_used,unused_loss_carry,liquidation_tax,tracking_error,max_drawdown,annual_turnover,management_fees,borrow_costs,transaction_costs,payments_in_lieu,dividend_taxes,debit_interest,min_margin_excess_ratio,max_net_exposure_error,maintenance_deficiency_observed,feasible_at_inception,deleverage_events,final_exposure_scale,yearly_taxes_paid
100/0,1.0,0,7,1143400.8701046973,0.01349089594556463,764658.765999242,2284.4985836612236,490.6776724841467,-263812.43218074675,126776.4909981153,-0.0,79366.48513338095,0.02396793713155664,-0.31982781929184934,0.5251838648372199,45902.4912317187,0.0,6411.619462808201,0.0,33220.26939428924,21814.064950892287,0.7258596026180498,0.0965615895278007,False,True,0,1.0,92561.95106469237
100/0,1.0,1,8,1515408.1965446654,0.042444550110003476,659048.6234616982,12161.174374191036,3387.5963426624767,-227362.03581344258,175496.25331581503,-0.0,181432.76625692518,0.021860145212395352,-0.5088958200735165,0.4413452806897548,41852.00595225132,0.0,5406.277665519423,0.0,30595.94856170832,22585.714309326544,0.7223491447967699,0.11060342081292052,False,True,0,1.0,258319.04125277855
100/0,1.0,2,9,1300127.9618434678,0.02659373574389501,726486.8121755113,5356.644291788833,0.0,-81904.7235872601,80759.47668977428,-0.0,86049.25786892271,0.02189037346804072,-0.236828206066937,0.47373292856454147,56726.82162015288,0.0,7139.169857276767,0.0,40974.059603404545,26374.51697810821,0.7283613187269892,0.0865547250920431,False,True,0,1.0,132563.989161261
100/0,1.0,3,10,770032.0043369905,-0.02579382597110269,936280.267359967,10510.918725375284,1779.3461663333374,-575621.8715793961,236044.37740292502,-0.0,32265.797943463043,0.026467660628501522,-0.7105605093619087,0.5782325579701169,41068.45433951719,0.0,6069.49145216961,0.0,29651.96689483845,17421.361523802927,0.7259238568375078,0.0963045726499685,False,True,0,1.0,49889.75488468676
100/0,1.0,4,11,2305082.105089025,0.0870978577590591,594870.4684514203,1073.5517100274424,0.0,154204.1383658134,52184.05757835537,-0.0,349776.39941829,0.018134479795002652,-0.241052618163358,0.33672669698636765,67602.98793721212,0.0,6980.285643542172,0.0,49029.143894148154,35917.339548778524,0.7299062926353305,0.08037482945867813,False,True,0,1.0,445541.94983867597
100/0,1.0,5,12,2513729.5697431625,0.0965586254913886,723363.6850193035,2828.263302774279,0.0,447755.1823156956,80300.16457703046,-0.0,343486.0998141887,0.02086988593617584,-0.3573650300840454,0.3190963496369873,88832.6526712879,0.0,8313.500576385055,0.0,63805.76304517144,40071.898439491815,0.7257872841692513,0.09685086332299475,False,True,0,1.0,538698.7015721785
100/0,1.0,6,13,1804868.7254176263,0.060826993072495394,742572.1387114634,24716.817787992986,0.0,195957.51639989298,100080.44941899055,-0.0,170058.82572080308,0.022327921802565397,-0.4233577380329183,0.3552340254320564,74639.72818284499,0.0,7365.246161117373,0.0,54146.60731778498,42551.29394214345,0.7221495313955899,0.11140187441764016,False,True,0,1.0,305033.5584092662
100/0,1.0,7,14,1622448.3584510772,0.049583725934500666,715439.4746770989,38404.112554358086,0.0,139997.74662156677,75899.98159628955,-0.0,131701.71768546358,0.024338970879062925,-0.32309502410585744,0.3647294691935022,73109.06591516825,0.0,7322.681077796862,0.0,52642.008065569746,34009.78237333197,0.7277340233792543,0.08906390648298279,False,True,0,1.0,241569.8999717291
100/0,1.0,8,15,2263372.6760408683,0.08511460000486415,535167.7321981594,37301.69596151185,0.0,521579.2972488714,39012.82694392956,-0.0,235937.17928899394,0.021047296612500054,-0.2685343086393067,0.2907438985130127,79836.36238350233,0.0,6938.59461425794,0.0,58041.87321748068,47891.75651847969,0.7222959845860605,0.1108160616557583,False,True,0,1.0,418855.8877965898
100/0,1.0,9,16,2127060.701761014,0.07839530495064517,598259.400407253,2164.16808914865,0.0,129845.37572426797,91761.01370040365,-0.0,301893.70405246806,0.016101784614167215,-0.2564232307505192,0.3382489410949531,64577.53421461157,0.0,6571.753555837769,0.0,46354.31907034124,27898.809160169036,0.7249996774715153,0.10000129011393866,False,True,0,1.0,417259.604815041
