scenario,book,gross_exposure,maintenance_deficiency_probability,feasible_at_inception,deleverage_events_median,extension_scale,insolvency_probability,ending_after_tax_wealth_p10,ending_after_tax_wealth_median,ending_after_tax_wealth_p90,after_tax_cagr_p10,after_tax_cagr_median,after_tax_cagr_p90,gross_losses_realized_p10,gross_losses_realized_median,gross_losses_realized_p90,gross_losses_liquidation_p10,gross_losses_liquidation_median,gross_losses_liquidation_p90,disallowed_wash_losses_p10,disallowed_wash_losses_median,disallowed_wash_losses_p90,net_realized_pre_liquidation_p10,net_realized_pre_liquidation_median,net_realized_pre_liquidation_p90,tax_benefit_used_p10,tax_benefit_used_median,tax_benefit_used_p90,unused_loss_carry_p10,unused_loss_carry_median,unused_loss_carry_p90,liquidation_tax_p10,liquidation_tax_median,liquidation_tax_p90,tracking_error_p10,tracking_error_median,tracking_error_p90,max_drawdown_p10,max_drawdown_median,max_drawdown_p90,annual_turnover_p10,annual_turnover_median,annual_turnover_p90,management_fees_p10,management_fees_median,management_fees_p90,borrow_costs_p10,borrow_costs_median,borrow_costs_p90,transaction_costs_p10,transaction_costs_median,transaction_costs_p90,payments_in_lieu_p10,payments_in_lieu_median,payments_in_lieu_p90,dividend_taxes_p10,dividend_taxes_median,dividend_taxes_p90,debit_interest_p10,debit_interest_median,debit_interest_p90,min_margin_excess_ratio_p10,min_margin_excess_ratio_median,min_margin_excess_ratio_p90,avg_long_exposure_p10,avg_long_exposure_median,avg_long_exposure_p90,avg_short_exposure_p10,avg_short_exposure_median,avg_short_exposure_p90,max_net_exposure_error_p10,max_net_exposure_error_median,max_net_exposure_error_p90,wealth_diff_vs_baseline_median,wealth_diff_vs_baseline_p10,wealth_diff_vs_baseline_p90,prob_beats_baseline
"Annual $100k ST gains, zero alpha",100/0,1.0,0.0,True,0.0,1.0,0.0,945809.1977837742,1722302.9049312973,2759538.8416052973,-0.0055562069844080075,0.05586417267082411,0.10683672968356438,606734.1808198722,751035.1599715844,934028.7397031635,0.0,22.79080616742756,553.4979432213613,0.0,0.0,0.0,-445977.3976204657,30656.363169837787,505616.4145055571,47885.21566623374,105749.05354469323,205656.56119394727,-0.0,-0.0,0.0,52371.6892072566,200773.1982150501,431468.56146300666,0.0169983115121767,0.02028042124707477,0.02425600557137551,-0.5206184126733993,-0.33412272743665217,-0.20726093289482694,0.3467464341815603,0.49862810376524114,0.805281306835328,40188.93920462314,65593.22623822014,92767.39728297554,0.0,0.0,0.0,7530.925943536549,8527.376686755637,9707.06236424741,0.0,0.0,0.0,28724.75438679508,47189.3177484422,66923.35321766503,22076.238614781745,38573.37307152117,59196.6304334984,0.7173113177555924,0.7222280752287265,0.7258340111100038,1.0386296845959166,1.0458844621425292,1.0521876484503263,0.0,0.0,0.0,0.09666395555998537,0.1110876990850942,0.13075472897763013,0.0,0.0,0.0,0.0
"Annual $100k ST gains, zero alpha",130/30,1.6,0.0,True,0.0,1.0,0.0,902038.7064350973,1596113.4342302768,2537780.3760356843,-0.010256868250493368,0.047866057642248605,0.09759231595032439,1878274.9669380938,2448088.326418209,3203988.382041419,7.349507461267996,1460.2769339772467,18012.142986049606,0.0,0.0,0.0,-448127.76100236,248634.99205977703,1116353.7708237884,76865.92099431429,158625.59782583205,248175.9854868021,-0.0,-0.0,0.0,35873.566068463406,132412.1839389997,269177.54411936726,0.06952465893735901,0.08078999299490111,0.09094223506283394,-0.5896918627569507,-0.380153833896854,-0.2302874728191784,2.078584699588158,2.261654786410765,2.480339985939388,36288.373059281155,59006.9296539439,88678.14567577829,19037.97382666391,30863.623771033293,45353.64754987295,20539.480855328435,32187.63050922229,45339.106028903785,32999.154632884114,53496.94786979104,78612.98908644644,32622.359492191812,53643.03963442293,80171.72324124463,2016.7479617807423,6201.513449549048,13007.670796713466,0.5675588949782499,0.5705570958482491,0.5731662330575431,1.308275879290194,1.3121416275971962,1.3161510747850436,0.30691443547818825,0.30971293800470545,0.3157487126187843,0.026510220280899464,0.03523765653700406,0.04890072430242242,-117286.91219929093,-484019.3155360525,166066.04380588658,0.26
"Annual $100k ST gains, zero alpha",150/50,2.0,0.0,True,0.0,1.0,0.0,847344.3503592603,1443381.3422125415,2616744.242564365,-0.016428415830224953,0.037376085146187954,0.10096187133774659,2301970.545121131,3187373.3229444697,4517451.592347882,0.0,1472.6789930959958,16599.94911481536,0.0,0.0,0.0,-491058.9718866508,65314.79642049473,1047321.5012828502,91643.7090829111,186923.9356832768,259437.36838077838,-0.0,-0.0,0.0,45361.29501450776,144237.02065166095,304407.92402293644,0.08942952997097263,0.10519504648992728,0.11769519660781927,-0.6181462781628893,-0.3988740094840939,-0.24016792846026744,2.7751444548955324,2.983670973594565,3.198931878468825,34202.16731147098,57566.263876152705,88958.54503637717,29367.275420271628,49128.347756722214,75349.69791406248,25122.48224428695,40170.497684138114,60355.48431575512,50903.2773951375,85155.8027783185,130606.1430510416,35779.70314459878,60125.04995956035,92679.00927619553,1938.2647988433941,5580.1287996691335,12848.954056367542,0.45895964673471534,0.4622401049814313,0.46449472623688115,1.5064959604616308,1.5095306743870074,1.5138799804209642,0.5053503359235797,0.5076480736654254,0.5130373110129048,0.025218983070790145,0.033394144279562,0.04393516444871446,-161469.62749277463,-659298.4858860717,148045.8863574242,0.23
"Annual $100k ST gains, zero alpha",200/100,3.0,0.0,True,0.0,1.0,0.0,692623.4555491843,1276479.717101638,2672849.9778669816,-0.03606133070984187,0.02471070288408539,0.1033038664746419,3127429.8727276977,4695299.030978097,7126346.669885301,33.6721003465802,2048.404629699598,27930.202730085177,0.0,0.0,0.0,-694896.1317627458,-214278.4948619617,906483.4622714139,141863.49277601196,245353.15917790317,299136.5306948511,-0.0,-0.0,0.0,55808.612853999286,167341.88169249077,471494.541027334,0.13900530565956057,0.1609825757938911,0.1812209361607077,-0.713646190881748,-0.5029016575025606,-0.2998790973235654,4.413869615891016,4.730512946712065,4.953623168298827,29322.288844671326,52996.27386657191,92604.79962535693,50739.702341893375,88424.92471842833,153745.8213316226,34057.5906853076,56105.11168160235,99416.25422863751,87948.8173926152,153269.86951194247,266492.7569748126,41288.01493236816,73717.58210362936,128128.17998194972,3261.5579741433867,7265.522557602455,16045.54168401887,0.18598720833846538,0.1894025758177884,0.19163667409748633,2.007765183045819,2.0111497808470435,2.0147233865739764,1.0018088840674721,1.004108670733606,1.0070161778740738,0.02448166146381463,0.03187768377932332,0.04143265941987385,-333958.7587274163,-1021818.4090885916,297691.34139205085,0.25
"Annual $100k ST gains, zero alpha",250/150,4.0,0.0,False,0.0,0.8848484848484848,0.0,628186.0081034581,1130652.5540771042,2762463.1410541376,-0.045430151688936736,0.01235297812330971,0.10691584242265806,3368986.6298505934,5517782.140991192,9248252.103624202,9.333104879632911,2801.864339028857,38396.57675801296,0.0,0.0,0.0,-751594.025184457,-406851.04501212353,831338.3090618189,183403.13420483796,267194.5485983053,319620.24491014244,-0.0,-0.0,0.0,46965.59335635535,166695.16304472508,504707.8235685408,0.1707347796622232,0.19568510545424428,0.22586536355738673,-0.7686259217865514,-0.5618351636421113,-0.34160544376919566,5.537453436942779,5.877776167010298,6.159612778783229,25482.02360181712,48278.522044894155,87965.40818774627,58431.266896644665,107100.47817311261,193809.90961046546,36992.871697337774,66369.1890397224,119619.953166892,101280.86262085076,185640.8288333952,335937.1766581401,41459.92631427131,76948.88833443823,140711.13320081262,1899.6428858981171,4163.845656324946,9893.56826953906,0.009825355754251487,0.01207296776330053,0.013450637892107003,2.3324900216174713,2.3335321890408265,2.334796546044156,1.3301970460336168,1.3314243267081016,1.333168408861721,0.014849751392052779,0.019593440031738796,0.02667558979111646,-462812.40926069184,-1203619.002320344,259921.65803480416,0.17
"No outside gains, zero alpha",100/0,1.0,0.0,True,0.0,1.0,0.0,806053.2509287699,1672642.2620827295,2733220.3919290104,-0.02132983812646728,0.05276909652786821,0.10577672151060087,616423.7634752094,758076.708291327,940819.8589637562,0.0,43.31512107723357,562.4339839549604,0.0,0.0,0.0,-446590.0662288345,13371.56374303269,515778.99018087616,3672.0,9180.0,12240.0,-0.0,-0.0,196737.06400900043,0.0,179073.62340712338,429412.69688322395,0.01629238176090887,0.01962883466790492,0.023578902413749773,-0.5213569795499425,-0.3335395689310264,-0.20716973108480635,0.3428602552344334,0.5047315010824007,0.8052561562398903,40225.53246428484,66345.27846116657,93393.60494706457,0.0,0.0,0.0,7575.817556374528,8662.164140800687,9625.20716634049,0.0,0.0,0.0,28745.953465111703,47704.74839572294,67210.70347508464,22034.527175026145,37208.894180071744,59182.692978430605,0.7180389542223217,0.7220253165615103,0.7258340111100038,1.0388700877510688,1.0455618333080325,1.0515402823209383,0.0,0.0,0.0,0.09666395555998537,0.11189873375395909,0.12784418311071333,0.0,0.0,0.0,0.0
"No outside gains, zero alpha",130/30,1.6,0.0,True,0.0,1.0,0.0,729685.602594321,1538854.8585733164,2497690.716186479,-0.03103143744147304,0.04404570363798199,0.09584779170887751,1932193.3317676857,2481805.763456401,3208615.6598087233,8.232540842046394,1462.1907509273801,17625.022670410894,0.0,0.0,0.0,-470030.1725195561,239833.76069285857,1157163.4339614278,3672.0,8107.7794050219645,12240.0,-0.0,-0.0,300547.0746862611,0.0,104293.60465680537,261071.01094174566,0.06911938144188726,0.08091668054488849,0.09124015821073142,-0.5843987021949705,-0.37854306620357836,-0.22392388464210705,2.074578380496245,2.2634227111412493,2.482308238607032,36451.45840295508,59977.44918718923,89718.10217463376,19131.949004472677,31361.567830464664,45838.37593696305,21230.63657612276,32194.11175443903,45158.07259098088,33162.04494108597,54360.05090613875,79453.18495740264,32792.799857493614,54510.18076899586,81050.34134410754,1689.391265612772,6158.180986594705,12666.268419536544,0.5668878158009861,0.5706337141755085,0.573232864448337,1.3085407740120456,1.3120383750443296,1.3162211600680633,0.306623489293477,0.30956159446280296,0.31531948266409704,0.02696654076704703,0.034769778986372346,0.04961718418035324,-164589.94077818922,-539067.7359201268,162267.9775845153,0.24
"No outside gains, zero alpha",150/50,2.0,0.0,True,0.0,1.0,0.0,674497.1316422885,1361564.0113693434,2525732.7867725445,-0.03862719828306155,0.031342852234448104,0.09707227788175621,2348757.7127854754,3215182.2417076635,4495656.318368374,0.0,1526.5878531355625,16648.21319326496,0.0,0.0,0.0,-515359.2815253438,59872.975235022546,1057324.4638558545,3672.0,8568.0,12240.0,-0.0,-0.0,321776.89090204384,0.0,98057.6423105284,288659.6185985254,0.08913124543289797,0.10567750331692585,0.11791686388166933,-0.6110917999140761,-0.39862207282182516,-0.23921612237132023,2.7737766928417673,2.9876918176939378,3.2059488787895973,34684.78838562699,58435.295743186354,88757.56714043957,29730.141909574682,49857.85730789667,75207.12763951198,25572.703577545686,40786.679639585156,60154.2045118395,51532.245976596125,86420.28600035424,130359.02124182078,36223.957919394925,60954.558502634165,92516.07026871074,1672.0690197885378,5329.603381302404,12881.805349157832,0.45911728889751396,0.4621084532764862,0.4644877203161445,1.5065730827779196,1.509527000797009,1.513676944805821,0.5052866771038098,0.5078269414344354,0.5122292220914839,0.026624757598036976,0.03386087679398392,0.04407128845405913,-220490.82597445569,-722865.7984879087,183052.7223053593,0.22
"No outside gains, zero alpha",200/100,3.0,0.0,True,0.0,1.0,0.0,467930.43443477445,1184095.5106506418,2577694.9263522993,-0.0731646708846554,0.017038267554594144,0.09931529122943125,3131391.9547290816,4728655.001377186,7416196.195921031,35.96309469262775,2153.1640215430043,28153.211804175273,0.0,0.0,0.0,-692582.8536940524,-235897.98184056228,913487.9511078983,6120.0,11016.0,12240.0,-0.0,-0.0,415014.25498338265,0.0,88488.84720873447,477255.2728198389,0.13872567020556983,0.1599874752995895,0.18086130637585462,-0.713646190881748,-0.4963605412548115,-0.29945587274127816,4.434889055155093,4.729719455538467,4.9546700414968905,29380.46278218729,54068.960356760086,94176.78467135849,50813.05707894522,91012.3361415744,155492.58598861148,34131.53915250442,57436.52522795793,100893.21747778846,88075.96560350507,157754.71597872896,269520.4823802599,41349.13699845816,75306.47633800635,129780.92002554338,2979.10831552919,6911.897680078395,15140.237315150776,0.1855464180862757,0.18924835924620442,0.1916720691189827,2.0077639550994997,2.0112008225146,2.014803775402094,1.0019621507217922,1.0039136312914103,1.0069447485252636,0.02424141178877759,0.031734835195476485,0.04143265941987385,-415828.71350145305,-1127231.8164257398,277681.0579512759,0.23
"No outside gains, zero alpha",250/150,4.0,0.0,False,0.0,0.8848484848484848,0.0,371989.771849777,1032941.2657097336,2666573.0121325944,-0.09416196161636473,0.0032431627248581396,0.10300204582843565,3371965.461377546,5559505.494497381,9475018.052588085,26.549706142304903,2817.289018654649,39222.75159505394,0.0,0.0,0.0,-759959.1741585118,-410521.8452652488,852070.5543074463,7221.6,11016.0,12240.0,-0.0,-0.0,521453.602079041,0.0,57575.729613133124,491332.1433408996,0.17050657978169612,0.19660154931499269,0.22284315830876014,-0.7615325039375188,-0.5618351636421113,-0.34186158903189107,5.537249772346611,5.880763661921087,6.1594946718506005,25598.412041283904,48930.23638620376,90504.73055618031,58494.45337976546,107991.22093991036,195815.6386803042,37002.241955162084,66945.43092294186,121355.01580310329,101390.38585826015,187184.78296251132,339413.77371252707,41604.56318257892,78134.58999928119,143379.89900104015,1716.2925727532445,3559.0337625294346,9328.73799209681,0.01011079464662073,0.012160588838036487,0.013450623634804407,2.3324446145928834,2.3335140014644917,2.3348274572289576,1.3302323888801213,1.3315362040740775,1.3331824773313021,0.014818377533170302,0.01926350102701746,0.026686063866634926,-562428.9754247935,-1358870.06713219,268011.61101050157,0.17
