scenario,book,n_paths,wealth_diff_median,wealth_diff_ci_lo,wealth_diff_ci_hi,wins,prob_beats,prob_ci_lo,prob_ci_hi
"Annual $100k ST gains, zero alpha",130/30,100,-117286.91,-172488.32,-66970.76,26,0.26,0.184,0.3537
"Annual $100k ST gains, zero alpha",150/50,100,-161469.63,-235918.85,-79257.65,23,0.23,0.1584,0.3215
"Annual $100k ST gains, zero alpha",200/100,100,-333958.76,-449612.9,-247754.69,25,0.25,0.1755,0.343
"Annual $100k ST gains, zero alpha",250/150,100,-462812.41,-601170.91,-360558.6,17,0.17,0.1089,0.2555
"No outside gains, zero alpha",130/30,100,-164589.94,-232694.93,-81006.68,24,0.24,0.1669,0.3323
"No outside gains, zero alpha",150/50,100,-220490.83,-293215.42,-134545.28,22,0.22,0.15,0.3107
"No outside gains, zero alpha",200/100,100,-415828.71,-563312.43,-339244.88,23,0.23,0.1584,0.3215
"No outside gains, zero alpha",250/150,100,-562428.98,-681022.49,-435291.3,17,0.17,0.1089,0.2555
"$500k ST gain in year 3, zero alpha",130/30,100,-146082.79,-199239.82,-84837.96,25,0.25,0.1755,0.343
"$500k ST gain in year 3, zero alpha",150/50,100,-181447.48,-255109.47,-142730.05,22,0.22,0.15,0.3107
"$500k ST gain in year 3, zero alpha",200/100,100,-349859.39,-493795.65,-258472.64,24,0.24,0.1669,0.3323
"$500k ST gain in year 3, zero alpha",250/150,100,-480796.97,-583646.86,-361220.13,18,0.18,0.117,0.2667
"Annual $100k ST gains, +75 bps alpha",130/30,100,-81507.72,-151483.37,-25623.86,32,0.32,0.2367,0.4166
"Annual $100k ST gains, +75 bps alpha",150/50,100,-109539.59,-198360.26,-13561.0,36,0.36,0.2727,0.4576
"Annual $100k ST gains, +75 bps alpha",200/100,100,-240418.14,-403988.89,-145431.42,29,0.29,0.2101,0.3854
"Annual $100k ST gains, +75 bps alpha",250/150,100,-311310.22,-434267.83,-207982.44,29,0.29,0.2101,0.3854
"Annual gains, zero alpha, high costs",130/30,100,-211502.42,-252041.71,-151241.09,15,0.15,0.0931,0.2328
"Annual gains, zero alpha, high costs",150/50,100,-296337.2,-348906.73,-249953.07,11,0.11,0.0625,0.1863
"Annual gains, zero alpha, high costs",200/100,100,-506491.54,-618918.84,-415775.86,7,0.07,0.0343,0.1375
"Annual gains, zero alpha, high costs",250/150,100,-679667.2,-771907.95,-556842.13,7,0.07,0.0343,0.1375
