scenario,book,gross_exposure,path,seed,ending_after_tax_wealth,after_tax_cagr,gross_losses_realized,gross_losses_liquidation,disallowed_wash_losses,net_realized_pre_liquidation,tax_benefit_used,unused_loss_carry,liquidation_tax,tracking_error,max_drawdown,annual_turnover,management_fees,borrow_costs,transaction_costs,payments_in_lieu,dividend_taxes,debit_interest,min_margin_excess_ratio,avg_long_exposure,avg_short_exposure,max_net_exposure_error,maintenance_deficiency_observed,feasible_at_inception,insolvent,deleverage_events,extension_scale,yearly_taxes_paid
"Annual $100k ST gains, zero alpha",100/0,1.0,0,7,1175866.1851381084,0.016332445208208313,868984.1484465299,0.0,0.0,-276072.87606409553,134075.59976931213,-0.0,98281.72071174436,0.025996983894130663,-0.33601031624729205,0.7184213602082294,47997.11969674571,0.0,8795.849889825802,0.0,34433.494784536364,26941.401759173175,0.7197803491862301,1.0440958720564253,0.0,0.12087860325507949,False,True,False,0,1.0,110783.85918207519
"Annual $100k ST gains, zero alpha",100/0,1.0,1,8,1540464.4716309207,0.04415547166319933,752902.3545793949,303.29227898728726,0.0,-236360.50156846587,176829.81141270002,-0.0,203826.8886254084,0.022555945477533534,-0.4766022964213935,0.6100819911560741,43487.29077306162,0.0,7277.296650753617,0.0,31124.7711175801,24030.34052429498,0.721223359833546,1.041287199615299,0.0,0.11510656066581593,False,True,False,0,1.0,273626.24701225123
"Annual $100k ST gains, zero alpha",100/0,1.0,2,9,1276063.7460600308,0.024677587306505266,888914.0985045736,481.51223434375794,0.0,-176152.52985143263,103163.48862064054,-0.0,98655.06093280582,0.016321273083046456,-0.23831665675575575,0.6464506881646932,56197.49952232098,0.0,9245.580293747762,0.0,40366.39562914193,32986.587084303945,0.7220682584795411,1.0437557631242362,0.0,0.11172696608183519,False,True,False,0,1.0,123683.69150082898
"Annual $100k ST gains, zero alpha",100/0,1.0,3,10,783068.0321519322,-0.024157003766231755,996369.8979604082,309.90239649634873,0.0,-579681.4874667801,252152.89089212465,-0.0,39441.10898214874,0.02424477550181375,-0.7055285648443461,0.788208159070908,42580.67369241071,0.0,8273.046551508882,0.0,30703.015576180904,26770.43666231334,0.7222681992514397,1.0490148839095257,0.0,0.11092720299424141,False,True,False,0,1.0,70935.34970111631
"Annual $100k ST gains, zero alpha",100/0,1.0,4,11,2348791.2398181176,0.08914183953796595,653632.919783081,58.929759929192315,0.0,264631.81152766885,86273.57702098461,-0.0,350742.5110522646,0.017726580070985924,-0.25621954781993583,0.48170332284824163,68495.69318414907,0.0,9202.344524983544,0.0,48918.27788925303,35510.670244904664,0.7260212247162263,1.0368395657695604,0.0,0.09591510113509472,False,True,False,0,1.0,504113.82204101613
"Annual $100k ST gains, zero alpha",100/0,1.0,5,12,2803591.5895303246,0.10859132254746684,692631.5762461865,0.0,0.0,435156.96057350276,60969.63485035605,-0.0,454944.43632533133,0.017882591933774155,-0.3464855709905831,0.34680180931061033,97308.31008294353,0.0,9730.497732898095,0.0,70432.63898768781,65749.53683160324,0.7251668942153303,1.0507657445892111,0.0,0.09933242313867852,False,True,False,0,1.0,653085.0667333576
"Annual $100k ST gains, zero alpha",100/0,1.0,6,13,1743281.1356311464,0.05715031384171687,803671.3043945911,0.0,0.0,70206.00202839548,122293.1883755117,-0.0,202490.84050776152,0.021903528175684583,-0.4146746643369884,0.4771756395330315,71834.54834441435,0.0,9059.848245795609,0.0,51813.97459253319,45568.2238130662,0.725078061101557,1.045508516704605,0.0,0.09968775559377185,False,True,False,0,1.0,328134.4850750084
"Annual $100k ST gains, zero alpha",100/0,1.0,7,14,1614428.3946143598,0.04906374595960772,810125.8389461208,0.0,0.0,54878.49996921647,88666.31282353538,-0.0,158524.59311252215,0.020616045743276926,-0.3322351386260123,0.4826737092831145,69737.65080257818,0.0,8878.363039776401,0.0,50430.130272593204,46209.424270035975,0.7165897684850592,1.0515141263079995,0.0,0.1336409260597633,False,True,False,0,1.0,243639.0793895191
"Annual $100k ST gains, zero alpha",100/0,1.0,8,15,2259137.6766501316,0.08491139292073147,587309.3645273792,364.7773738194818,0.0,448928.7267870865,66402.5710389181,-0.0,258790.50481081445,0.0183995838304015,-0.26721413870579047,0.3686350717826775,80290.30178922023,0.0,8351.652066712848,0.0,57964.48124528305,51473.22580112132,0.7249273648577709,1.0494733088854198,0.0,0.10029054056891651,False,True,False,0,1.0,441230.02813954826
"Annual $100k ST gains, zero alpha",100/0,1.0,9,16,2168808.691462403,0.08049341513373354,654728.7631103422,0.0,0.0,201354.0334282884,101096.08965139816,-0.0,319978.93749722315,0.020340180683804845,-0.26358956703147707,0.4366696705489746,68148.4017978573,0.0,8431.081873947092,0.0,48940.23565957831,38888.19379868287,0.7174487526051516,1.044677556339855,0.0,0.13020498957939375,False,True,False,0,1.0,468228.23722664855
"Annual $100k ST gains, zero alpha",100/0,1.0,10,17,938164.2050405196,-0.006362700409317634,989452.0416722602,11887.5725164483,0.0,-445938.0023967699,194027.3101973178,-0.0,51105.64347152158,0.024823281101927174,-0.3065659072416007,0.9382153430925586,40263.636609323534,0.0,9295.844730597995,0.0,28751.64080350419,20123.70023683719,0.7248829702031188,1.0367747860732321,0.0,0.10046811918752474,False,True,False,0,1.0,63514.131204423764
